id;reg
57;(p+|P+){1}(à+|á+|a+|A+|4+){1}(p+|P+){1}(à+|á+|a+|A+|4+){1}(g+|G+){1}(à+|á+|a+|A+|4+){1}(i+|I+|1+){1}(o+|O+|0+){1}(-+|\s+){1}(d+|D+){1}(è+|é+|e+|E+|3+){1}(-+|\s+){1}(c+|C+|ç+){1}(à+|á+|a+|A+|4+){1}(r+|R+){1}(à+|á+|a+|A+|4+){1}(-+|\s+){1}(r+|R+){1}(o+|O+|0+){1}(x+|X+){1}(à+|á+|a+|A+|4+){1}
58;(b+|B+){1}(r+|R+){1}(à+|á+|a+|A+|4+){1}(s+|S+|5+){1}(i+|I+|1+){1}(l+|L+){1}(è+|é+|e+|E+|3+){1}\w(à+|á+|a+|A+|4+){1}(\s+){1}
59;(c+|C+|ç+){1}(o+|O+|0+){1}(u+|U+){1}(r+|R+){1}(o+|O+|0+){1}(n+|N+){1}(n+|N+){1}(è+|é+|e+|E+|3+){1}
60;(l+|L+){1}(i+|I+|1+){1}(l+|L+){1}(à+|á+|a+|A+|4+){1}(s+|S+|5+){1}
61;(l+|L+){1}(i+|I+|1+){1}(l+|L+){1}(à+|á+|a+|A+|4+){1}(c+|C+|ç+){1}(-+|\s+){1}(c+|C+|ç+){1}(r+|R+){1}(o+|O+|0+){1}(w+|W+){1}(n+|N+){1}(è+|é+|e+|E+|3+){1}(d+|D+){1}
62;(g+|G+){1}(u+|U+){1}(à+|á+|a+|A+|4+){1}(y+|Y+){1}(à+|á+|a+|A+|4+){1}(b+|B+){1}(è+|é+|e+|E+|3+){1}(r+|R+){1}(à+|á+|a+|A+|4+){1}
63;(f+|F+){1}(r+|R+){1}(è+|é+|e+|E+|3+){1}(n+|N+){1}(t+|T+|7+){1}(è+|é+|e+|E+|3+){1}
64;(r+|R+){1}(o+|O+|0+){1}(j+|J+){1}(à+|á+|a+|A+|4+){1}
65;(l+|L+){1}(o+|O+|0+){1}(r+|R+){1}(o+|O+|0+){1}
66;(c+|C+|ç+){1}(o+|O+|0+){1}(r+|R+){1}(o+|O+|0+){1}(n+|N+){1}(à+|á+|a+|A+|4+){1}(-+|\s+){1}(v+|V+){1}(i+|I+|1+){1}(o+|O+|0+){1}(l+|L+){1}(è+|é+|e+|E+|3+){1}(t+|T+|7+){1}(à+|á+|a+|A+|4+){1}(\s+){1}
67;(s+|S+|5+){1}(à+|á+|a+|A+|4+){1}(i+|I+|1+){1}(n+|N+){1}(t+|T+|7+){1}(-+|\s+){1}(v+|V+){1}(i+|I+|1+){1}(n+|N+){1}(c+|C+|ç+){1}(è+|é+|e+|E+|3+){1}(n+|N+){1}(t+|T+|7+){1}
68;(v+|V+){1}(i+|I+|1+){1}(n+|N+){1}(c+|C+|ç+){1}(è+|é+|e+|E+|3+){1}(n+|N+){1}(t+|T+|7+){1}
69;(s+|S+|5+){1}(à+|á+|a+|A+|4+){1}(i+|I+|1+){1}(n+|N+){1}(t+|T+|7+){1}
70;(s+|S+|5+){1}(à+|á+|a+|A+|4+){1}(n+|N+){1}
