id;ad_id;match_cites_parrot;match_common_parrot;mapping_match
331;531407_us;0;1;"10;115;125;271;272;278;298;336"
332;531313_us;0;1;"10;181;278;308;336;355"
333;531312_us;0;1;8
334;531311_us;0;1;"10;83;125;181;271;272;278;298;308"
335;531263_us;0;1;"135;329;336"
336;531249_us;0;1;"181;355"
337;531219_us;0;1;"10;115;125;271;272;278;298;332"
338;531215_us;0;1;"70;83;134;144;164;200;219"
339;531040_us;0;1;"8;29;105;181"
340;531039_us;0;1;"125;133;271;272;298"
341;531038_us;0;1;"272;336;355"
342;530451_us;0;1;"10;83;135;165;278;308;311;381"
343;530283_us;0;1;"10;125;133;135;165;271;272;278;298;308;381"
344;530282_us;0;1;"10;115;125;133;135;165;271;272;278;298;308"
345;530222_us;0;1;"10;115;135;278"
346;530221_us;0;1;"10;115;135;165;219;278;336;381"
347;530203_us;0;1;"10;70;83;115;175;181;278;308;311;332"
348;530182_us;0;1;"10;125;128;271;278;298;308"
349;529864_us;0;1;"10;115;125;175;270;271;272;278;298"
350;529855_us;0;1;"8;10;83;115;133;210;278"
351;529833_us;0;1;"128;135"
352;529811_us;0;1;"10;115;125;133;270;271;272;278;298"
353;529810_us;0;1;"10;70;83;115;175;181;278;308;311;332"
354;529790_us;0;1;"10;70;83;115;125;175;181;271;272;278;298;308;311;332"
355;529787_us;0;1;"10;128;135;165;181;278;308;381"
356;529786_us;0;1;"10;115;125;181;271;272;278;298;308"
357;529785_us;0;1;"128;135;141;165;336;381"
358;529685_us;0;0;
359;529573_us;0;1;"10;125;278"
360;529420_us;0;1;"8;10;105;115;158;165;181;278"
361;529391_us;0;1;"10;83;115;175;181;278;311;332"
362;529323_us;0;1;"10;83;115;125;175;181;271;272;278;298;332"
363;529322_us;0;1;"5;298"
364;529319_us;0;1;"133;135;165;381"
365;529315_us;0;1;"10;115;135;278"
366;529224_us;0;1;"5;298"
367;529180_us;0;1;"135;165;181;336;381"
368;529179_us;0;1;"134;135;181;336;377"
369;528998_us;0;1;"10;133;135;278;308"
370;528639_us;0;1;"135;165;381"
371;528039_us;0;1;"8;10;105;115;158;165;278"
372;528038_us;0;1;"128;133;181;355"
373;528037_us;0;1;"128;256;355;370;371"
374;528035_us;0;1;"10;115;128;181;278;308;336;355;374"
375;528034_us;0;1;"181;311;355"
376;528033_us;0;1;"135;165"
377;528032_us;0;1;"10;115;128;135;181;278;332"
378;528031_us;0;1;"8;10;105;115;165;278"
379;528030_us;0;1;"10;115;278;355"
380;528023_us;0;1;"10;125;271;272;278;298;308;336"
381;528022_us;0;1;"10;125;271;272;278;298;308;336"
382;528021_us;0;1;"10;115;125;181;271;278;298"
383;528020_us;0;1;"10;83;115;125;128;133;270;271;272;278;298;308"
384;527724_us;0;1;"10;125;271;272;278;298;308;311"
385;527723_us;0;1;"10;125;271;272;278;298;308;311"
386;527645_us;0;1;"5;10;83;115;125;128;133;271;272;278;298;311;336"
387;527364_us;0;1;"10;125;181;270;271;272;278;298;308"
388;527361_us;0;0;
389;527322_us;0;1;"5;10;83;115;125;128;133;271;272;278;298;336"
390;527234_us;0;1;"10;135;278;308;329"
391;527233_us;0;1;"10;115;135;165;278;308;329"
392;527231_us;0;1;"10;83;134;135;181;278;308"
393;527230_us;0;1;"10;278;308"
394;527229_us;0;1;"10;278;308"
395;527228_us;0;1;"5;10;83;135;164;181;278;308"
396;527227_us;0;1;"5;10;83;135;164;181;278;308"
397;527226_us;0;1;"10;135;165;181;278;308;381"
398;527225_us;0;1;"10;135;165;278;308;381"
399;527224_us;0;1;"10;115;134;135;278;308"
400;527223_us;0;1;"10;135;150;278;308"
401;527203_us;0;1;"135;165;381"
402;526995_us;0;1;"5;10;133;135;165;278;308"
403;526724_us;0;1;"10;125;271;272;278;298"
404;526700_us;0;1;"10;125;271;272;278;298"
405;526699_us;0;1;"10;125;133;271;272;278;298;308"
406;526698_us;0;1;"10;125;271;272;278;298;308"
407;526696_us;0;1;"10;125;181;271;272;278;298;308;336"
408;526695_us;0;1;"10;125;164;271;272;278;298;308"
